Hour,Feature,AUC
80,AirLeakFlow_Max_8h,0.4078947368421053
80,FluidOutput_Max_PerMin_8h,0.5763157894736842
81,AirLeakFlow_Max_8h,0.39181286549707606
81,FluidOutput_Max_PerMin_8h,0.4912280701754386
82,AirLeakFlow_Max_8h,0.4358974358974359
82,FluidOutput_Max_PerMin_8h,0.46336996336996333
83,AirLeakFlow_Max_8h,0.4194139194139194
83,FluidOutput_Max_PerMin_8h,0.5293040293040293
84,AirLeakFlow_Max_8h,0.3684210526315789
84,FluidOutput_Max_PerMin_8h,0.5300751879699248
85,AirLeakFlow_Max_8h,0.30043859649122806
85,FluidOutput_Max_PerMin_8h,0.48903508771929827
86,AirLeakFlow_Max_8h,0.16891891891891891
86,FluidOutput_Max_PerMin_8h,0.47747747747747743
87,AirLeakFlow_Max_8h,0.23423423423423423
87,FluidOutput_Max_PerMin_8h,0.47747747747747743
88,AirLeakFlow_Max_8h,0.3125
88,FluidOutput_Max_PerMin_8h,0.5
89,AirLeakFlow_Max_8h,0.3527777777777778
89,FluidOutput_Max_PerMin_8h,0.4722222222222222
90,AirLeakFlow_Max_8h,0.3542857142857143
90,FluidOutput_Max_PerMin_8h,0.4714285714285714
91,AirLeakFlow_Max_8h,0.3686868686868687
91,FluidOutput_Max_PerMin_8h,0.4696969696969697
92,AirLeakFlow_Max_8h,0.3838383838383838
92,FluidOutput_Max_PerMin_8h,0.45454545454545453
93,AirLeakFlow_Max_8h,0.4838709677419355
93,FluidOutput_Max_PerMin_8h,0.4838709677419355
94,AirLeakFlow_Max_8h,0.43870967741935485
94,FluidOutput_Max_PerMin_8h,0.4838709677419355
95,AirLeakFlow_Max_8h,0.33666666666666667
95,FluidOutput_Max_PerMin_8h,0.48333333333333334
96,AirLeakFlow_Max_8h,0.29310344827586204
96,FluidOutput_Max_PerMin_8h,0.4827586206896552
97,AirLeakFlow_Max_8h,0.27586206896551724
97,FluidOutput_Max_PerMin_8h,0.46551724137931033
98,AirLeakFlow_Max_8h,0.24074074074074076
98,FluidOutput_Max_PerMin_8h,0.4444444444444445
99,AirLeakFlow_Max_8h,0.22
99,FluidOutput_Max_PerMin_8h,0.48
100,AirLeakFlow_Max_8h,0.2826086956521739
100,FluidOutput_Max_PerMin_8h,0.43478260869565216
101,AirLeakFlow_Max_8h,0.4
101,FluidOutput_Max_PerMin_8h,0.44
102,AirLeakFlow_Max_8h,0.45454545454545453
102,FluidOutput_Max_PerMin_8h,0.45454545454545453
