Hour,Feature,Group,Mean,Std
9,AirLeakFlow,NotRemoved,91.254,656.549
9,AirLeakFlow,Removed,42.717,383.798
9,LOWESSFluidOutput,NotRemoved,17.392,26.26
9,LOWESSFluidOutput,Removed,28.168,33.385
9,MeasuredPleuralPressure,NotRemoved,1.415,0.491
9,MeasuredPleuralPressure,Removed,1.371,0.509
10,AirLeakFlow,NotRemoved,43.516,390.124
10,AirLeakFlow,Removed,57.76,499.832
10,LOWESSFluidOutput,NotRemoved,17.504,27.273
10,LOWESSFluidOutput,Removed,27.809,34.116
10,MeasuredPleuralPressure,NotRemoved,1.434,0.492
10,MeasuredPleuralPressure,Removed,1.377,0.487
11,AirLeakFlow,NotRemoved,235.381,1128.696
11,AirLeakFlow,Removed,64.004,552.134
11,LOWESSFluidOutput,NotRemoved,17.492,29.006
11,LOWESSFluidOutput,Removed,26.59,33.665
11,MeasuredPleuralPressure,NotRemoved,1.438,0.499
11,MeasuredPleuralPressure,Removed,1.365,0.493
12,AirLeakFlow,NotRemoved,81.852,575.705
12,AirLeakFlow,Removed,109.186,766.355
12,LOWESSFluidOutput,NotRemoved,17.402,30.397
12,LOWESSFluidOutput,Removed,25.939,33.383
12,MeasuredPleuralPressure,NotRemoved,1.424,0.507
12,MeasuredPleuralPressure,Removed,1.371,0.502
13,AirLeakFlow,NotRemoved,170.336,964.485
13,AirLeakFlow,Removed,24.994,295.287
13,LOWESSFluidOutput,NotRemoved,16.27,30.493
13,LOWESSFluidOutput,Removed,25.874,34.9
13,MeasuredPleuralPressure,NotRemoved,1.427,0.501
13,MeasuredPleuralPressure,Removed,1.378,0.503
14,AirLeakFlow,NotRemoved,60.519,521.588
14,AirLeakFlow,Removed,36.222,368.848
14,LOWESSFluidOutput,NotRemoved,14.442,29.136
14,LOWESSFluidOutput,Removed,25.161,35.761
14,MeasuredPleuralPressure,NotRemoved,1.434,0.488
14,MeasuredPleuralPressure,Removed,1.371,0.511
15,AirLeakFlow,NotRemoved,98.932,694.69
15,AirLeakFlow,Removed,59.5,529.517
15,LOWESSFluidOutput,NotRemoved,14.647,29.718
15,LOWESSFluidOutput,Removed,25.175,36.664
15,MeasuredPleuralPressure,NotRemoved,1.437,0.483
15,MeasuredPleuralPressure,Removed,1.372,0.519
16,AirLeakFlow,NotRemoved,59.542,487.293
16,AirLeakFlow,Removed,48.857,453.706
16,LOWESSFluidOutput,NotRemoved,13.49,27.897
16,LOWESSFluidOutput,Removed,26.903,38.54
16,MeasuredPleuralPressure,NotRemoved,1.394,0.475
16,MeasuredPleuralPressure,Removed,1.378,0.512
17,AirLeakFlow,NotRemoved,152.856,915.732
17,AirLeakFlow,Removed,86.743,657.529
17,LOWESSFluidOutput,NotRemoved,11.969,25.787
17,LOWESSFluidOutput,Removed,27.085,39.238
17,MeasuredPleuralPressure,NotRemoved,1.423,0.5
17,MeasuredPleuralPressure,Removed,1.39,0.511
18,AirLeakFlow,NotRemoved,68.424,601.1
18,AirLeakFlow,Removed,30.628,273.265
18,LOWESSFluidOutput,NotRemoved,10.044,22.167
18,LOWESSFluidOutput,Removed,26.634,39.672
18,MeasuredPleuralPressure,NotRemoved,1.461,0.507
18,MeasuredPleuralPressure,Removed,1.386,0.518
19,AirLeakFlow,NotRemoved,46.944,439.846
19,AirLeakFlow,Removed,32.825,293.023
19,LOWESSFluidOutput,NotRemoved,10.983,23.722
19,LOWESSFluidOutput,Removed,25.17,39.806
19,MeasuredPleuralPressure,NotRemoved,1.504,0.496
19,MeasuredPleuralPressure,Removed,1.37,0.504
20,AirLeakFlow,NotRemoved,248.319,1131.096
20,AirLeakFlow,Removed,62.015,564.218
20,LOWESSFluidOutput,NotRemoved,13.397,24.822
20,LOWESSFluidOutput,Removed,25.311,41.346
20,MeasuredPleuralPressure,NotRemoved,1.488,0.477
20,MeasuredPleuralPressure,Removed,1.378,0.516
21,AirLeakFlow,NotRemoved,82.157,651.865
21,AirLeakFlow,Removed,46.367,462.606
21,LOWESSFluidOutput,NotRemoved,13.636,23.819
21,LOWESSFluidOutput,Removed,25.609,43.715
21,MeasuredPleuralPressure,NotRemoved,1.506,0.512
21,MeasuredPleuralPressure,Removed,1.388,0.501
22,AirLeakFlow,NotRemoved,75.993,652.259
22,AirLeakFlow,Removed,34.184,355.2
22,LOWESSFluidOutput,NotRemoved,13.769,24.13
22,LOWESSFluidOutput,Removed,25.635,44.555
22,MeasuredPleuralPressure,NotRemoved,1.502,0.514
22,MeasuredPleuralPressure,Removed,1.39,0.518
23,AirLeakFlow,NotRemoved,148.264,889.81
23,AirLeakFlow,Removed,52.878,514.889
23,LOWESSFluidOutput,NotRemoved,12.929,24.853
23,LOWESSFluidOutput,Removed,25.586,45.799
23,MeasuredPleuralPressure,NotRemoved,1.457,0.5
23,MeasuredPleuralPressure,Removed,1.383,0.524
24,AirLeakFlow,NotRemoved,55.554,490.134
24,AirLeakFlow,Removed,87.831,660.218
24,LOWESSFluidOutput,NotRemoved,10.145,23.964
24,LOWESSFluidOutput,Removed,25.959,48.445
24,MeasuredPleuralPressure,NotRemoved,1.467,0.52
24,MeasuredPleuralPressure,Removed,1.372,0.517
25,AirLeakFlow,NotRemoved,56.724,500.031
25,AirLeakFlow,Removed,27.63,272.308
25,LOWESSFluidOutput,NotRemoved,10.993,26.431
25,LOWESSFluidOutput,Removed,26.458,50.942
25,MeasuredPleuralPressure,NotRemoved,1.513,0.508
25,MeasuredPleuralPressure,Removed,1.365,0.516
26,AirLeakFlow,NotRemoved,59.818,547.639
26,AirLeakFlow,Removed,68.011,546.917
26,LOWESSFluidOutput,NotRemoved,14.152,30.685
26,LOWESSFluidOutput,Removed,25.386,51.761
26,MeasuredPleuralPressure,NotRemoved,1.527,0.467
26,MeasuredPleuralPressure,Removed,1.36,0.519
27,AirLeakFlow,NotRemoved,67.215,562.154
27,AirLeakFlow,Removed,42.102,408.779
27,LOWESSFluidOutput,NotRemoved,13.128,29.286
27,LOWESSFluidOutput,Removed,25.524,53.086
27,MeasuredPleuralPressure,NotRemoved,1.45,0.479
27,MeasuredPleuralPressure,Removed,1.37,0.512
28,AirLeakFlow,NotRemoved,59.841,561.366
28,AirLeakFlow,Removed,24.702,280.071
28,LOWESSFluidOutput,NotRemoved,10.619,25.603
28,LOWESSFluidOutput,Removed,25.278,52.446
28,MeasuredPleuralPressure,NotRemoved,1.47,0.475
28,MeasuredPleuralPressure,Removed,1.356,0.515
29,AirLeakFlow,NotRemoved,81.415,586.958
29,AirLeakFlow,Removed,85.072,664.611
29,LOWESSFluidOutput,NotRemoved,8.92,21.635
29,LOWESSFluidOutput,Removed,25.16,53.266
29,MeasuredPleuralPressure,NotRemoved,1.471,0.475
29,MeasuredPleuralPressure,Removed,1.372,0.508
30,AirLeakFlow,NotRemoved,10.842,25.161
30,AirLeakFlow,Removed,61.707,520.622
30,LOWESSFluidOutput,NotRemoved,9.686,23.398
30,LOWESSFluidOutput,Removed,24.097,53.214
30,MeasuredPleuralPressure,NotRemoved,1.469,0.473
30,MeasuredPleuralPressure,Removed,1.382,0.51
31,AirLeakFlow,NotRemoved,119.979,789.904
31,AirLeakFlow,Removed,92.209,692.764
31,LOWESSFluidOutput,NotRemoved,10.328,25.398
31,LOWESSFluidOutput,Removed,23.804,53.274
31,MeasuredPleuralPressure,NotRemoved,1.482,0.51
31,MeasuredPleuralPressure,Removed,1.393,0.53
32,AirLeakFlow,NotRemoved,65.107,561.72
32,AirLeakFlow,Removed,53.401,512.588
32,LOWESSFluidOutput,NotRemoved,10.922,27.237
32,LOWESSFluidOutput,Removed,25.51,55.703
32,MeasuredPleuralPressure,NotRemoved,1.502,0.482
32,MeasuredPleuralPressure,Removed,1.406,0.482
33,AirLeakFlow,NotRemoved,4.675,7.552
33,AirLeakFlow,Removed,13.656,104.566
33,LOWESSFluidOutput,NotRemoved,11.544,28.97
33,LOWESSFluidOutput,Removed,26.272,58.677
33,MeasuredPleuralPressure,NotRemoved,1.469,0.497
33,MeasuredPleuralPressure,Removed,1.41,0.522
34,AirLeakFlow,NotRemoved,58.003,561.587
34,AirLeakFlow,Removed,40.097,358.894
34,LOWESSFluidOutput,NotRemoved,11.958,31.653
34,LOWESSFluidOutput,Removed,24.958,58.995
34,MeasuredPleuralPressure,NotRemoved,1.486,0.479
34,MeasuredPleuralPressure,Removed,1.408,0.493
35,AirLeakFlow,NotRemoved,6.95,17.763
35,AirLeakFlow,Removed,54.898,528.69
35,LOWESSFluidOutput,NotRemoved,11.847,33.569
35,LOWESSFluidOutput,Removed,23.707,58.249
35,MeasuredPleuralPressure,NotRemoved,1.477,0.476
35,MeasuredPleuralPressure,Removed,1.417,0.501
36,AirLeakFlow,NotRemoved,58.23,561.574
36,AirLeakFlow,Removed,58.376,530.282
36,LOWESSFluidOutput,NotRemoved,11.591,35.791
36,LOWESSFluidOutput,Removed,22.473,57.228
36,MeasuredPleuralPressure,NotRemoved,1.498,0.492
36,MeasuredPleuralPressure,Removed,1.417,0.51
37,AirLeakFlow,NotRemoved,115.089,790.154
37,AirLeakFlow,Removed,60.179,530.892
37,LOWESSFluidOutput,NotRemoved,12.05,37.745
37,LOWESSFluidOutput,Removed,22.54,58.187
37,MeasuredPleuralPressure,NotRemoved,1.513,0.484
37,MeasuredPleuralPressure,Removed,1.41,0.49
38,AirLeakFlow,NotRemoved,116.711,789.929
38,AirLeakFlow,Removed,48.163,436.264
38,LOWESSFluidOutput,NotRemoved,10.353,37.685
38,LOWESSFluidOutput,Removed,21.516,57.353
38,MeasuredPleuralPressure,NotRemoved,1.467,0.524
38,MeasuredPleuralPressure,Removed,1.421,0.503
39,AirLeakFlow,NotRemoved,116.893,790.253
39,AirLeakFlow,Removed,90.731,660.036
39,LOWESSFluidOutput,NotRemoved,10.257,41.163
39,LOWESSFluidOutput,Removed,20.975,55.886
39,MeasuredPleuralPressure,NotRemoved,1.511,0.501
39,MeasuredPleuralPressure,Removed,1.396,0.475
40,AirLeakFlow,NotRemoved,48.732,186.094
40,AirLeakFlow,Removed,32.591,323.152
40,LOWESSFluidOutput,NotRemoved,11.188,43.394
40,LOWESSFluidOutput,Removed,20.993,55.393
40,MeasuredPleuralPressure,NotRemoved,1.502,0.494
40,MeasuredPleuralPressure,Removed,1.416,0.494
41,AirLeakFlow,NotRemoved,85.546,594.161
41,AirLeakFlow,Removed,32.329,325.198
41,LOWESSFluidOutput,NotRemoved,10.754,39.879
41,LOWESSFluidOutput,Removed,20.586,54.609
41,MeasuredPleuralPressure,NotRemoved,1.489,0.495
41,MeasuredPleuralPressure,Removed,1.42,0.512
42,AirLeakFlow,NotRemoved,66.374,593.779
42,AirLeakFlow,Removed,93.223,669.455
42,LOWESSFluidOutput,NotRemoved,10.896,38.498
42,LOWESSFluidOutput,Removed,20.581,54.532
42,MeasuredPleuralPressure,NotRemoved,1.485,0.504
42,MeasuredPleuralPressure,Removed,1.408,0.495
43,AirLeakFlow,NotRemoved,48.929,417.676
43,AirLeakFlow,Removed,51.539,464.137
43,LOWESSFluidOutput,NotRemoved,11.993,38.019
43,LOWESSFluidOutput,Removed,19.905,55.426
43,MeasuredPleuralPressure,NotRemoved,1.457,0.523
43,MeasuredPleuralPressure,Removed,1.414,0.506
44,AirLeakFlow,NotRemoved,16.294,38.816
44,AirLeakFlow,Removed,87.973,657.485
44,LOWESSFluidOutput,NotRemoved,13.255,40.552
44,LOWESSFluidOutput,Removed,19.228,54.285
44,MeasuredPleuralPressure,NotRemoved,1.426,0.521
44,MeasuredPleuralPressure,Removed,1.425,0.519
45,AirLeakFlow,NotRemoved,21.154,52.443
45,AirLeakFlow,Removed,106.39,739.714
45,LOWESSFluidOutput,NotRemoved,14.394,42.16
45,LOWESSFluidOutput,Removed,18.23,52.574
45,MeasuredPleuralPressure,NotRemoved,1.431,0.539
45,MeasuredPleuralPressure,Removed,1.405,0.531
46,AirLeakFlow,NotRemoved,77.573,654.066
46,AirLeakFlow,Removed,32.1,343.82
46,LOWESSFluidOutput,NotRemoved,13.806,41.507
46,LOWESSFluidOutput,Removed,19.33,55.668
46,MeasuredPleuralPressure,NotRemoved,1.403,0.542
46,MeasuredPleuralPressure,Removed,1.445,0.534
47,AirLeakFlow,NotRemoved,177.932,956.898
47,AirLeakFlow,Removed,95.538,673.438
47,LOWESSFluidOutput,NotRemoved,11.536,37.631
47,LOWESSFluidOutput,Removed,20.917,59.47
47,MeasuredPleuralPressure,NotRemoved,1.458,0.539
47,MeasuredPleuralPressure,Removed,1.42,0.548
48,AirLeakFlow,NotRemoved,226.586,1062.445
48,AirLeakFlow,Removed,79.767,618.15
48,LOWESSFluidOutput,NotRemoved,11.539,38.602
48,LOWESSFluidOutput,Removed,20.634,59.618
48,MeasuredPleuralPressure,NotRemoved,1.419,0.538
48,MeasuredPleuralPressure,Removed,1.418,0.552
49,AirLeakFlow,NotRemoved,16.124,43.25
49,AirLeakFlow,Removed,77.246,585.919
49,LOWESSFluidOutput,NotRemoved,9.993,32.119
49,LOWESSFluidOutput,Removed,17.924,55.483
49,MeasuredPleuralPressure,NotRemoved,1.466,0.532
49,MeasuredPleuralPressure,Removed,1.43,0.56
50,AirLeakFlow,NotRemoved,104.901,773.996
50,AirLeakFlow,Removed,80.608,622.772
50,LOWESSFluidOutput,NotRemoved,9.942,30.082
50,LOWESSFluidOutput,Removed,17.119,54.879
50,MeasuredPleuralPressure,NotRemoved,1.354,0.585
50,MeasuredPleuralPressure,Removed,1.409,0.556
51,AirLeakFlow,NotRemoved,143.217,867.493
51,AirLeakFlow,Removed,86.164,600.029
51,LOWESSFluidOutput,NotRemoved,12.206,32.65
51,LOWESSFluidOutput,Removed,15.615,49.969
51,MeasuredPleuralPressure,NotRemoved,1.303,0.522
51,MeasuredPleuralPressure,Removed,1.438,0.553
52,AirLeakFlow,NotRemoved,130.359,865.289
52,AirLeakFlow,Removed,56.545,515.438
52,LOWESSFluidOutput,NotRemoved,12.787,34.196
52,LOWESSFluidOutput,Removed,16.074,48.451
52,MeasuredPleuralPressure,NotRemoved,1.255,0.551
52,MeasuredPleuralPressure,Removed,1.4,0.55
53,AirLeakFlow,NotRemoved,6.804,10.555
53,AirLeakFlow,Removed,59.551,477.282
53,LOWESSFluidOutput,NotRemoved,12.133,32.892
53,LOWESSFluidOutput,Removed,16.074,48.584
53,MeasuredPleuralPressure,NotRemoved,1.317,0.483
53,MeasuredPleuralPressure,Removed,1.436,0.544
54,AirLeakFlow,NotRemoved,3.54,9.81
54,AirLeakFlow,Removed,86.233,623.98
54,LOWESSFluidOutput,NotRemoved,9.044,24.23
54,LOWESSFluidOutput,Removed,15.102,46.373
54,MeasuredPleuralPressure,NotRemoved,1.276,0.542
54,MeasuredPleuralPressure,Removed,1.449,0.566
55,AirLeakFlow,NotRemoved,6.032,8.714
55,AirLeakFlow,Removed,21.593,45.525
55,LOWESSFluidOutput,NotRemoved,9.466,25.319
55,LOWESSFluidOutput,Removed,16.221,48.404
55,MeasuredPleuralPressure,NotRemoved,1.233,0.541
55,MeasuredPleuralPressure,Removed,1.476,0.548
56,AirLeakFlow,NotRemoved,6.178,10.169
56,AirLeakFlow,Removed,65.295,547.67
56,LOWESSFluidOutput,NotRemoved,7.836,21.094
56,LOWESSFluidOutput,Removed,15.51,48.899
56,MeasuredPleuralPressure,NotRemoved,1.214,0.498
56,MeasuredPleuralPressure,Removed,1.449,0.565
57,AirLeakFlow,NotRemoved,131.251,865.158
57,AirLeakFlow,Removed,82.807,606.753
57,LOWESSFluidOutput,NotRemoved,7.764,20.764
57,LOWESSFluidOutput,Removed,16.656,51.41
57,MeasuredPleuralPressure,NotRemoved,1.279,0.561
57,MeasuredPleuralPressure,Removed,1.468,0.562
58,AirLeakFlow,NotRemoved,8.663,13.068
58,AirLeakFlow,Removed,91.551,637.694
58,LOWESSFluidOutput,NotRemoved,8.325,22.267
58,LOWESSFluidOutput,Removed,18.543,54.025
58,MeasuredPleuralPressure,NotRemoved,1.265,0.528
58,MeasuredPleuralPressure,Removed,1.446,0.56
59,AirLeakFlow,NotRemoved,262.038,1209.504
59,AirLeakFlow,Removed,11.571,28.951
59,LOWESSFluidOutput,NotRemoved,8.832,23.634
59,LOWESSFluidOutput,Removed,19.569,52.768
59,MeasuredPleuralPressure,NotRemoved,1.269,0.559
59,MeasuredPleuralPressure,Removed,1.433,0.556
60,AirLeakFlow,NotRemoved,5.947,17.205
60,AirLeakFlow,Removed,101.002,721.642
60,LOWESSFluidOutput,NotRemoved,7.016,18.906
60,LOWESSFluidOutput,Removed,20.313,52.669
60,MeasuredPleuralPressure,NotRemoved,1.296,0.536
60,MeasuredPleuralPressure,Removed,1.405,0.535
61,AirLeakFlow,NotRemoved,1.822,1.968
61,AirLeakFlow,Removed,36.07,419.866
61,LOWESSFluidOutput,NotRemoved,7.038,18.983
61,LOWESSFluidOutput,Removed,20.817,54.264
61,MeasuredPleuralPressure,NotRemoved,1.259,0.582
61,MeasuredPleuralPressure,Removed,1.38,0.526
62,AirLeakFlow,NotRemoved,5.913,13.499
62,AirLeakFlow,Removed,26.542,192.129
62,LOWESSFluidOutput,NotRemoved,5.368,14.989
62,LOWESSFluidOutput,Removed,20.298,52.828
62,MeasuredPleuralPressure,NotRemoved,1.249,0.542
62,MeasuredPleuralPressure,Removed,1.374,0.533
63,AirLeakFlow,NotRemoved,139.46,864.201
63,AirLeakFlow,Removed,57.582,440.488
63,LOWESSFluidOutput,NotRemoved,2.31,6.228
63,LOWESSFluidOutput,Removed,19.484,51.976
63,MeasuredPleuralPressure,NotRemoved,1.277,0.517
63,MeasuredPleuralPressure,Removed,1.376,0.552
64,AirLeakFlow,NotRemoved,14.246,38.665
64,AirLeakFlow,Removed,47.141,440.946
64,LOWESSFluidOutput,NotRemoved,2.246,6.373
64,LOWESSFluidOutput,Removed,20.494,52.759
64,MeasuredPleuralPressure,NotRemoved,1.198,0.525
64,MeasuredPleuralPressure,Removed,1.338,0.546
65,AirLeakFlow,NotRemoved,2.238,1.448
65,AirLeakFlow,Removed,89.93,582.892
65,LOWESSFluidOutput,NotRemoved,2.413,6.516
65,LOWESSFluidOutput,Removed,20.804,50.594
65,MeasuredPleuralPressure,NotRemoved,1.273,0.535
65,MeasuredPleuralPressure,Removed,1.384,0.527
66,AirLeakFlow,NotRemoved,4.107,5.554
66,AirLeakFlow,Removed,84.408,630.388
66,LOWESSFluidOutput,NotRemoved,0.403,1.472
66,LOWESSFluidOutput,Removed,20.485,48.006
66,MeasuredPleuralPressure,NotRemoved,1.309,0.61
66,MeasuredPleuralPressure,Removed,1.363,0.56
67,AirLeakFlow,NotRemoved,171.693,999.169
67,AirLeakFlow,Removed,112.573,778.644
67,LOWESSFluidOutput,NotRemoved,0.0,0.0
67,LOWESSFluidOutput,Removed,19.033,43.201
67,MeasuredPleuralPressure,NotRemoved,1.365,0.575
67,MeasuredPleuralPressure,Removed,1.397,0.552
68,AirLeakFlow,NotRemoved,171.488,999.202
68,AirLeakFlow,Removed,79.109,652.251
68,LOWESSFluidOutput,NotRemoved,0.0,0.0
68,LOWESSFluidOutput,Removed,16.421,41.565
68,MeasuredPleuralPressure,NotRemoved,1.326,0.596
68,MeasuredPleuralPressure,Removed,1.416,0.516
69,AirLeakFlow,NotRemoved,5.007,9.196
69,AirLeakFlow,Removed,48.605,471.159
69,LOWESSFluidOutput,NotRemoved,0.0,0.0
69,LOWESSFluidOutput,Removed,16.074,41.268
69,MeasuredPleuralPressure,NotRemoved,1.378,0.618
69,MeasuredPleuralPressure,Removed,1.395,0.544
70,AirLeakFlow,NotRemoved,4.481,6.345
70,AirLeakFlow,Removed,50.722,480.141
70,LOWESSFluidOutput,NotRemoved,0.0,0.0
70,LOWESSFluidOutput,Removed,16.716,41.037
70,MeasuredPleuralPressure,NotRemoved,1.374,0.566
70,MeasuredPleuralPressure,Removed,1.419,0.564
71,AirLeakFlow,NotRemoved,5.495,9.176
71,AirLeakFlow,Removed,69.566,540.793
71,LOWESSFluidOutput,NotRemoved,0.0,0.0
71,LOWESSFluidOutput,Removed,17.186,39.225
71,MeasuredPleuralPressure,NotRemoved,1.388,0.569
71,MeasuredPleuralPressure,Removed,1.454,0.555
72,AirLeakFlow,NotRemoved,172.688,999.073
72,AirLeakFlow,Removed,48.764,489.816
72,LOWESSFluidOutput,NotRemoved,0.0,0.0
72,LOWESSFluidOutput,Removed,16.525,35.985
72,MeasuredPleuralPressure,NotRemoved,1.397,0.563
72,MeasuredPleuralPressure,Removed,1.467,0.538
73,AirLeakFlow,NotRemoved,1.925,1.696
73,AirLeakFlow,Removed,6.881,11.737
73,LOWESSFluidOutput,NotRemoved,0.0,0.0
73,LOWESSFluidOutput,Removed,17.06,35.806
73,MeasuredPleuralPressure,NotRemoved,1.443,0.588
73,MeasuredPleuralPressure,Removed,1.44,0.544
74,AirLeakFlow,NotRemoved,1.497,2.848
74,AirLeakFlow,Removed,50.771,510.426
74,LOWESSFluidOutput,NotRemoved,0.0,0.0
74,LOWESSFluidOutput,Removed,14.628,30.593
74,MeasuredPleuralPressure,NotRemoved,1.389,0.561
74,MeasuredPleuralPressure,Removed,1.472,0.541
75,AirLeakFlow,NotRemoved,4.203,7.219
75,AirLeakFlow,Removed,7.679,15.302
75,LOWESSFluidOutput,NotRemoved,0.0,0.0
75,LOWESSFluidOutput,Removed,14.171,30.609
75,MeasuredPleuralPressure,NotRemoved,1.398,0.594
75,MeasuredPleuralPressure,Removed,1.474,0.531
76,AirLeakFlow,NotRemoved,342.773,1391.606
76,AirLeakFlow,Removed,55.491,534.036
76,LOWESSFluidOutput,NotRemoved,0.0,0.0
76,LOWESSFluidOutput,Removed,15.789,31.672
76,MeasuredPleuralPressure,NotRemoved,1.356,0.619
76,MeasuredPleuralPressure,Removed,1.479,0.547
77,AirLeakFlow,NotRemoved,4.474,8.601
77,AirLeakFlow,Removed,140.576,830.703
77,LOWESSFluidOutput,NotRemoved,0.0,0.0
77,LOWESSFluidOutput,Removed,16.531,31.954
77,MeasuredPleuralPressure,NotRemoved,1.448,0.673
77,MeasuredPleuralPressure,Removed,1.499,0.567
78,AirLeakFlow,NotRemoved,9.666,14.028
78,AirLeakFlow,Removed,62.764,546.941
78,LOWESSFluidOutput,NotRemoved,0.0,0.0
78,LOWESSFluidOutput,Removed,16.832,32.153
78,MeasuredPleuralPressure,NotRemoved,1.432,0.606
78,MeasuredPleuralPressure,Removed,1.476,0.6
79,AirLeakFlow,NotRemoved,7.256,11.42
79,AirLeakFlow,Removed,6.789,18.554
79,LOWESSFluidOutput,NotRemoved,0.0,0.0
79,LOWESSFluidOutput,Removed,16.862,29.817
79,MeasuredPleuralPressure,NotRemoved,1.398,0.581
79,MeasuredPleuralPressure,Removed,1.437,0.582
80,AirLeakFlow,NotRemoved,1.643,0.971
80,AirLeakFlow,Removed,4.994,10.557
80,LOWESSFluidOutput,NotRemoved,0.0,0.0
80,LOWESSFluidOutput,Removed,15.834,29.393
80,MeasuredPleuralPressure,NotRemoved,1.377,0.635
80,MeasuredPleuralPressure,Removed,1.416,0.587
81,AirLeakFlow,NotRemoved,325.202,1328.516
81,AirLeakFlow,Removed,5.47,12.26
81,LOWESSFluidOutput,NotRemoved,0.0,0.0
81,LOWESSFluidOutput,Removed,14.592,28.434
81,MeasuredPleuralPressure,NotRemoved,1.337,0.638
81,MeasuredPleuralPressure,Removed,1.443,0.59
82,AirLeakFlow,NotRemoved,6.905,8.661
82,AirLeakFlow,Removed,77.177,598.01
82,LOWESSFluidOutput,NotRemoved,0.0,0.0
82,LOWESSFluidOutput,Removed,14.941,27.992
82,MeasuredPleuralPressure,NotRemoved,1.346,0.593
82,MeasuredPleuralPressure,Removed,1.469,0.547
83,AirLeakFlow,NotRemoved,7.798,12.336
83,AirLeakFlow,Removed,4.236,6.238
83,LOWESSFluidOutput,NotRemoved,0.0,0.0
83,LOWESSFluidOutput,Removed,13.846,27.064
83,MeasuredPleuralPressure,NotRemoved,1.366,0.542
83,MeasuredPleuralPressure,Removed,1.449,0.563
84,AirLeakFlow,NotRemoved,8.976,12.349
84,AirLeakFlow,Removed,61.435,576.85
84,LOWESSFluidOutput,NotRemoved,0.0,0.0
84,LOWESSFluidOutput,Removed,10.555,23.865
84,MeasuredPleuralPressure,NotRemoved,1.388,0.593
84,MeasuredPleuralPressure,Removed,1.445,0.571
85,AirLeakFlow,NotRemoved,2.148,4.216
85,AirLeakFlow,Removed,3.132,4.591
85,LOWESSFluidOutput,NotRemoved,0.0,0.0
85,LOWESSFluidOutput,Removed,11.837,26.041
85,MeasuredPleuralPressure,NotRemoved,1.314,0.612
85,MeasuredPleuralPressure,Removed,1.44,0.554
86,AirLeakFlow,NotRemoved,3.735,6.24
86,AirLeakFlow,Removed,1.412,0.905
86,LOWESSFluidOutput,NotRemoved,0.0,0.0
86,LOWESSFluidOutput,Removed,10.936,24.506
